LOC;YEAR;TRIAL;SEQ;PLOT;DESIGN;GENERATION;DNAID;REP;BLOC;FL;PH;YLD;ZN;Experimental_Group
PAL;2017;PA17B;0001;GSCT17B0001;PCT27:0:0:3>1806-M;S02;1806;1;A;92;115.6;810.1302326;16.5;PCT27
PAL;2017;PA17B;0002;GSCT17B0002;PCT27:0:0:3>1391-M;S02;1391;1;A;82;132.8;564.1142326;14.6;PCT27
PAL;2017;PA17B;0003;GSCT17B0003;PCT27:0:0:3>1547-M;S02;1547;1;A;80;113;632.3424767;13.6;PCT27
PAL;2017;PA17B;0004;GSCT17B0004;PCT27:0:0:3>1191-M;S02;1191;1;A;82;115;682.6026977;13.6;PCT27
PAL;2017;PA17B;0005;GSCT17B0005;PCT27:0:0:3>1128-M;S02;1128;1;A;87;116.4;721.5190349;12.7;TC
PAL;2017;PA17B;0006;GSCT17B0006;PCT27:0:0:3>1055-M;S02;1055;1;A;87;135.4;609.1713372;13.3;TC
PAL;2017;PA17B;0007;GSCT17B0007;PCT27:0:0:3>1672-M;S02;1672;1;A;83;133.4;591.5687791;14.5;PCT27
PAL;2017;PA17B;0008;GSCT17B0008;PCT27:0:0:3>2035-M;S02;2035;1;A;82;114.6;536.2172442;16.2;PCT27
PAL;2017;PA17B;0009;GSCT17B0009;PCT27:0:0:3>1378-M;S02;1378;1;A;84;123;786.4753488;15.2;PCT27
PAL;2017;PA17B;0010;GSCT17B0010;PCT27:0:0:3>2014-M;S02;2014;1;A;87;122.6;756.311907;15.2;PCT27
PAL;2017;PA17B;0011;GSCT17B0011;PCT27:0:0:3>2356-M;S02;2356;1;A;87;110.6;696.4339535;16.4;PCT27
PAL;2017;PA17B;0012;GSCT17B0012;PCT27:0:0:3>2186-M;S02;2186;1;A;85;110.2;822.9739535;12.2;PCT27
PAL;2017;PA17B;0013;GSCT17B0013;L23;LINE;L23;1;A;75;103.6;286.5423721;12.6;SC
PAL;2017;PA17B;0014;GSCT17B0014;PCT27:0:0:3>1532-M;S02;1532;1;A;84;117;756.1530814;14.4;PCT27
PAL;2017;PA17B;0015;GSCT17B0015;PCT27:0:0:3>1230-M;S02;1230;1;A;87;108.4;688.3352326;12.3;PCT27
PAL;2017;PA17B;0016;GSCT17B0016;PCT27:0:0:3>1429-M;S02;1429;1;A;88;111.4;540.7395349;12.3;PCT27
PAL;2017;PA17B;0017;GSCT17B0017;PCT27:0:0:3>2544-M;S02;2544;1;A;87;138.6;559.6460698;13.4;PCT27
PAL;2017;PA17B;0018;GSCT17B0018;PCT27:0:0:3>1675-M;S02;1675;1;A;83;112.8;618.4906047;16.5;PCT27
PAL;2017;PA17B;0019;GSCT17B0019;PCT27:0:0:3>1934-M;S02;1934;1;A;90;130.4;712.8852326;12.5;PCT27
PAL;2017;PA17B;0020;GSCT17B0020;PCT27:0:0:3>1145-M;S02;1145;1;A;92;111.4;678.7012791;17;TC
PAL;2017;PA17B;0021;GSCT17B0021;PCT27:0:0:3>1050-M;S02;1050;1;A;87;111.2;580.3467209;14.2;PCT27
PAL;2017;PA17B;0022;GSCT17B0022;PCT27:0:0:3>1290-M;S02;1290;1;A;88;121;565.2567442;14.8;PCT27
PAL;2017;PA17B;0023;GSCT17B0023;PCT27:0:0:3>2119-M;S02;2119;1;A;88;112.6;644.9996163;13.8;PCT27
PAL;2017;PA17B;0024;GSCT17B0024;PCT27:0:0:3>2265-M;S02;2265;1;A;82;140;669.3612558;13.7;PCT27
PAL;2017;PA17B;0025;GSCT17B0025;PCT27:0:0:3>2430-M;S02;2430;1;A;84;129.6;796.3204884;13.8;PCT27
PAL;2017;PA17B;0026;GSCT17B0026;PCT27:0:0:3>1637-M;S02;1637;1;A;79;120.8;457.1404651;11.3;PCT27
PAL;2017;PA17B;0027;GSCT17B0027;PCT27:0:0:3>1138-M;S02;1138;1;A;92;116.8;627.0121977;14.7;PCT27
PAL;2017;PA17B;0028;GSCT17B0028;PCT27:0:0:3>1684-M;S02;1684;1;A;92;128.2;627.1865116;17.8;PCT27
PAL;2017;PA17B;0029;GSCT17B0029;PCT27:0:0:3>2280-M;S02;2280;1;A;84;128;517.6977791;15.7;PCT27
PAL;2017;PA17B;0030;GSCT17B0030;PCT27:0:0:3>1155-M;S02;1155;1;A;88;127.6;466.7255;15.2;TC
PAL;2017;PA17B;0031;GSCT17B0031;PCT27:0:0:3>1884-M;S02;1884;1;A;87;135.4;508.7299535;15.6;PCT27
PAL;2017;PA17B;0032;GSCT17B0032;PCT27:0:0:3>1569-M;S02;1569;1;A;88;136.4;585.1424186;12.4;PCT27
PAL;2017;PA17B;0033;GSCT17B0033;PCT27:0:0:3>1764-M;S02;1764;1;A;85;132.2;428.3790698;12.2;PCT27
PAL;2017;PA17B;0034;GSCT17B0034;PCT27:0:0:3>2216-M;S02;2216;1;A;84;136;562.135814;11.7;PCT27
PAL;2017;PA17B;0035;GSCT17B0035;PCT27:0:0:3>1945-M;S02;1945;1;A;92;141;622.3707907;16.7;PCT27
PAL;2017;PA17B;0036;GSCT17B0036;PCT27:0:0:3>1248-M;S02;1248;1;A;84;129.4;552.8931163;14.7;PCT27
PAL;2017;PA17B;0037;GSCT17B0037;PCT27:0:0:3>1441-M;S02;1441;1;A;84;125.2;665.7334186;12.5;PCT27
PAL;2017;PA17B;0038;GSCT17B0038;IR64;LINE;IR64;1;A;90;99.2;922.9183256;11.9;SC
PAL;2017;PA17B;0039;GSCT17B0039;PCT27:0:0:3>1204-M;S02;1204;1;A;92;122.8;626.5244186;14;PCT27
PAL;2017;PA17B;0040;GSCT17B0040;PCT27:0:0:3>1416-M;S02;1416;1;A;87;116.6;437.7668605;17.6;TC
PAL;2017;PA17B;0041;GSCT17B0041;PCT27:0:0:3>2448-M;S02;2448;1;A;89;141;850.2155233;13.4;PCT27
PAL;2017;PA17B;0042;GSCT17B0042;PCT27:0:0:3>1305-M;S02;1305;1;A;92;121.4;409.8939767;14;PCT27
PAL;2017;PA17B;0043;GSCT17B0043;PCT27:0:0:3>1015-M;S02;1015;1;A;83;104.4;486.3778605;na;PCT27
PAL;2017;PA17B;0044;GSCT17B0044;PCT27:0:0:3>1501-M;S02;1501;1;A;93;129.2;440.8472093;12.6;PCT27
PAL;2017;PA17B;0045;GSCT17B0045;PCT27:0:0:3>2567-M;S02;2567;1;A;87;137.4;773.4145349;15;PCT27
PAL;2017;PA17B;0046;GSCT17B0046;PCT27:0:0:3>1353-M;S02;1353;1;A;84;132.6;548.3188953;13.1;PCT27
PAL;2017;PA17B;0047;GSCT17B0047;PCT27:0:0:3>2133-M;S02;2133;1;A;88;132.6;544.255814;12;PCT27
PAL;2017;PA17B;0048;GSCT17B0048;PCT27:0:0:3>2061-M;S02;2061;1;A;83;113;762.3037674;14.3;PCT27
PAL;2017;PA17B;0049;GSCT17B0049;PCT27:0:0:3>2389-M;S02;2389;1;A;93;123.8;573.0930116;15.7;PCT27
PAL;2017;PA17B;0050;GSCT17B0050;PCT27:0:0:3>1076-M;S02;1076;1;A;87;145.2;606.4872558;15.4;TC
PAL;2017;PA17B;0051;GSCT17B0051;PCT27:0:0:3>2212-M;S02;2212;1;B;92;127.2;487.3289535;15.6;PCT27
PAL;2017;PA17B;0052;GSCT17B0052;PCT27:0:0:3>1440-M;S02;1440;1;B;83;122.8;687.5472674;15.4;PCT27
PAL;2017;PA17B;0053;GSCT17B0053;PCT27:0:0:3>1406-M;S02;1406;1;B;90;141.2;986.2145349;12.7;PCT27
PAL;2017;PA17B;0054;GSCT17B0054;PCT27:0:0:3>1546-M;S02;1546;1;B;88;129.6;335.1611628;13.4;PCT27
PAL;2017;PA17B;0055;GSCT17B0055;PCT27:0:0:3>2130-M;S02;2130;1;B;88;121;692.9367907;13.7;PCT27
PAL;2017;PA17B;0056;GSCT17B0056;PCT27:0:0:3>2276-M;S02;2276;1;B;84;122.4;640.7646977;14.9;PCT27
PAL;2017;PA17B;0057;GSCT17B0057;PCT27:0:0:3>1629-M;S02;1629;1;B;92;120;633.6774419;14.2;PCT27
PAL;2017;PA17B;0058;GSCT17B0058;PCT27:0:0:3>1567-M;S02;1567;1;B;80;99.8;392.9417442;14.5;PCT27
PAL;2017;PA17B;0059;GSCT17B0059;PCT27:0:0:3>1832-M;S02;1832;1;B;87;132.2;458.6495233;13.5;PCT27
PAL;2017;PA17B;0060;GSCT17B0060;PCT27:0:0:3>1012-M;S02;1012;1;B;93;125;490.9172442;12.7;PCT27
