Genotype,FL,PH,YLD,ZN
1006,-1.67783321231293,-5.23625677166108,-14.9100977388482,1.63231896764003
1008,1.38336630761509,-0.435595135996526,-22.9657385791472,1.68273238351631
1009,3.63371676706493,-1.19582834834028,-1.13726884739552,-0.353216424175103
1012,3.97528694727869,4.19203614490689,-34.6577215298386,-0.349863880879745
1022,1.61580883174886,-7.08701804997054,4.56222713593528,-0.387331891206097
1023,-0.606521267157031,4.90863101253751,2.12286647344347,0.316032512034611
1031,1.19291006259456,-2.28240745569862,-13.9198176409264,-0.766665449924723
1033,5.46262946878751,1.35311467844849,-44.7619044634496,-0.755400934757938
1037,-1.71180907064331,0.40654350410796,-11.8233901851364,-0.471803982951416
1039,0.417555884931814,1.61122244136251,-56.5802790169815,1.08473315080637
1044,0.740336011411726,7.54063156878685,74.5814366705402,-0.342594562808819
1045,-4.41733300774281,0.885101288664684,38.8842522648846,1.62226098757058
1046,1.28547993136413,-0.279206360753268,8.54935708934075,1.06648267324353
1050,2.57040938827662,-7.47505001537945,-65.1258405763633,0.446101812307957
1052,-7.98265092444186,-2.99571658422901,-28.7763631878449,0.396403823066302
1055,-0.584433271227351,7.76540315078497,3.79790533400723,-0.648368711367168
1056,3.45602653875499,5.92072440579515,-30.7188750243229,1.99680912537805
1067,-4.27337193085435,7.58525273150799,-25.6923408266851,0.357043051921728
1070,-4.01890600019774,-0.933044403541379,17.9947920087801,1.14467631628111
1076,-0.338280848538736,4.24729678017276,-31.3415847511634,-0.00901044622092692
1082,2.75480082626772,6.62403083384772,-23.6160825794968,-1.23196929843189
1084,-0.828125355941607,-3.87410290485452,-35.4327487798783,-0.383039159721604
1086,-6.2333998299986,3.54052174854699,6.05411398647186,0.487172439538534
1087,-1.20986667159949,1.55523597984575,1.78622942252441,4.40219495906492
1091,-3.81273910638186,4.05895161958822,17.1211938398285,-0.26001360415075
1093,1.37368658924061,5.04568796806518,-26.3039574338184,-1.55107939921844
1096,1.5018236929165,2.57963011517672,-19.224644842265,-0.475065682672995
1099,-4.10644599372484,-2.15385110240844,30.449070693748,-0.611211505422809
1104,-1.1154494107479,-1.90040394632539,-11.677525602989,0.961708824605777
1106,1.6567815966729,-5.71629984755224,-16.77128652596,-0.423351491012219
1109,-0.529732658269464,-6.7883389639399,-0.689157388526219,0.977676721429581
1110,-5.4839012304078,-5.02660025393108,-34.2500539228049,0.847805300886538
1115,2.24297606142411,4.92550258824191,7.82405206565759,-1.18341911975196
1117,-1.04456650824032,-2.50038211290783,8.34684107281581,0.946618275415839
1118,1.70345310254636,-3.79577049984779,-1.55615146973369,1.9023634408054
1120,3.05313103906282,3.05959308556286,-52.8314442633931,-0.228887798895313
1123,-5.78849905826597,0.16222894906214,59.7809683321535,-2.18274015890015
1125,0.782960452097983,1.39763062948129,-2.77978991388521,0.812250198712265
1128,1.58674263350815,-4.49250497886568,17.3829397588067,0.620856076280261
1131,-1.72598593374782,5.05611154207592,75.5219166428296,-0.904300733978595
1132,-4.89363136357184,-2.61145688209453,-35.0151017437416,1.22399141664872
1134,3.65519581835833,2.49409318836488,-51.7934752100986,0.199182541257006
1137,3.03162192362658,1.19908930254687,5.98298394769106,1.11545488215496
1138,-1.48036392014728,-3.35175115465569,-26.2464604216143,-1.86240133344486
1144,3.35705247265785,-0.293318980558498,-51.455228875704,2.48323433928303
1145,3.22219262699853,-1.08838957664817,-11.9148635606871,3.33720422912566
1148,1.26466974008993,-2.09489121910959,-9.79831674980522,1.17359646626958
1150,2.0669811316343,-1.92971763696483,-39.3030652775299,-2.82100655066019
1152,2.29947220957732,1.59408712209091,-25.7098096048531,-2.17354905393993
1155,2.30136670269017,-0.474668614561079,-59.0815575421769,-0.0897485097159379
1164,2.95990453488099,-5.04256218534321,-1.61784336660067,0.890508815001785
1166,2.92440967984379,-4.90526782835664,10.0166115585151,-0.889583581524106
1167,2.43311560484493,-1.65233451277626,-10.4377164819031,-0.16521374291129
1171,2.9727072046233,6.47309508622848,-21.7637448713048,1.01523304281104
1173,0.930484640369294,0.551492602718393,-4.50988215462487,-0.181171046244937
1174,1.47012737339506,0.651323842397703,-50.9854434265808,0.877603047751012
1175,0.975811870412211,-7.92271965408937,-23.5362788306313,0.294261157755006
1183,-1.46526372169706,1.04832477464234,-8.71341449856643,-0.400219007242456
1184,0.173921501394549,-2.76835792374413,8.25217343935785,-0.133530817937296
1190,1.52182248646292,-5.16995795440702,-25.3861807156068,-1.86312588018898
